name,labelhash,namehash
any.eth,0xfb79856d4be6e4152983d8f934d820ec61c255bb7f1581914e7da0f335bdbf33,0x1561a0f3c3a93ba29aac901573c0486d2ad069460e0944022337d052d3811eb7
apt.eth,0x2925b56eb0d217372d800c126f3ae16f30c8a98e5319c31dac3d5355da177268,0xe032c7c6caf5da32b8051cb849dd1b7f621b1c9beabde067c37ad666ef2d25f4
bad.eth,0x16670ca66adef3714742563ad0c7475358e93ae23ee6adb1f8a5c0dce6ae88a3,0xd1692748665be989b5445d1a903f7dca043f95f923d7287c2e9f1e1c6597f206
big.eth,0x4b64cfd283df7eafb3c4921ff9a2d44e41085232a6807d37e47fed3907f9ce9b,0xd439738a792ecb885b7068f65f4035706dbe19f9b50d3ae797731e4081c0efd9
dim.eth,0xa50a3d35043feb088f220975fcd41db4ce2154f01de1ef08a39935bd0fff2406,0x7417214a2c6f18ecc491e515f46d3541fad43f8ed94deeeeb0e76f58a43994a9
dry.eth,0x451e05c6182394d8c85c964283364d02059f743674a4770097ed5af98a5afd6a,0x3f8c5670bef6d1550b6c0779d71acb7abd888c9fbec43b987100851ce360db9f
far.eth,0xffc8ab34f229f92a6d6e9fd57cf2cf7e67bd50d50d4192b410cdd071225a9cd4,0xdae051e63d7db880a22f44a89128648ff014b31030c79311fcd07197801aaa45
fat.eth,0x48eae73858f8f0033ac723812becbf0db7532926d59335429c1542a18cfab1a3,0x4b8e7c87f8d25e76842e78b11893485709f408ed0df2ca4e02e1bd7c94f227f5
few.eth,0xc837324e4dea6214753b49cbf1829fad1e6719ed78378e05eb25bcd539002c9b,0x1d0373f01504e5d95e38b2d3bcdd9d6f80ae31251dfed96be0d3f924aeb24125
hot.eth,0xc9eb968fa73bd1f5c6ce4ea22a808e38c6b40b2568371a4f1ac0acb30ad6ea41,0xdbb364a3c47d7b29c05622ca72801ffaa61d5f93bccc9ce2c6d44375083ea23f
icy.eth,0xed420bf29852e6077b1c48816c4f953a89cc145821b59f4cbdd9acb08d785bf2,0xd534691813740db89edccb5da5c38012c293c936fb0132b1427766dac41f445c
ill.eth,0x159b194ddb1d64984992c0839225a79a4a423ea84ab36c6b71b15f0e14d4dce2,0xf0a1db795e5e01456bca20216f63be7e91486aa72d491e2b9e90c3f9b2b372ba
key.eth,0x07855b46a623a8ecabac76ed697aa4e13631e3b6718c8a0d342860c13c30d2fc,0x0d2ee9c39cddc5d7b345f616342c58a3a6bb9dbcc64771211237a10a60fbab3c
low.eth,0x72e202ecc31e532b534c49c160181cef44f90bcfaccd37037424ff9ac79456d0,0x3c2dcd5a1939009026644ec77ca2da2df62ecdeaf2f353cd886b5b22d0979dee
mad.eth,0xf27633bb5834605f9420abff308cda0d3af95dc30a697a3edcf66773d1a43e78,0xaf2e3193a3a01789dc48a7e864fb358fb72b501e3cd7fc59a4452038ec153713
new.eth,0x41e691fcbdc41a0c9c62caec68dbbdb99b245cbb72f06df6f40fa1bd1b4d97d9,0xf06db8113eca0a5ad439a8c06fce2f7166d592082a0bbe4d96637ba41b17e443
odd.eth,0x195302f672cadc7712b076aa3410bb762efa3c1cf1d1d468b6748c6e9f4ec955,0x1b5b51371279d2e8f9522e2b73144c8b1a77fb94ab55920d9048e0f61025935a
