name,labelhash,namehash
hydrogen.eth,0x79319f95e517b1530c3c453d8f6d65ce5f28cd85effb3e2f9c71c55ba63882d2,0x2a65ee402c7b0c5cb0b5702357af9fb3353d31427a1d147fbef80c76c4835bc4
helium.eth,0xb165855668ca781b8ac2011c980e745896d2b26f901fedbd9c599fb983684c64,0xc8920ddbd9fe8708a9538d0ca0cde04b6f65009eff730771e1d04e07dafe5805
lithium.eth,0xe025601fd85136be1af0529e78342e053c8962ac8864344f29a5066fc9e8edc9,0xf8b080c05378377d47b033c0703c26432d4b2e6f71255f90a05e6e8ad415ffe4
beryllium.eth,0xa2b6edd664933239c4dbe84e11956bf79c89e3f07f40b1911bdb0011ca5f8175,0xaabf75d21c73058342914a71d81a0c4c6917c8aaddb4261256f7ff0c4e2d48fb
boron.eth,0x4f1b1b14f71d01cfc8f30141a0c80d4e54c206a4aebfafca152b8b4b050e30c9,0x2acb0824e61bb8f6ed695508807253fe6f39574fe4539daa1eda3e078fbb33ea
carbon.eth,0x9a854c99b448d3f3845a1186ecd2961be9cc90459bf94e5d02d360d66c07f2ac,0xac7da07b01515397325dab4a0927c7baea489d6df9732d1943406218544bb6a3
nitrogen.eth,0x8ee4f5d094b3ea30e24fad4f60cb24a9fd06ea4d57228a01315bf086966f219f,0x17ae53f22cff6d7744e5b2d33dc41e33eba98bf797b634085abae4f42a7ff053
oxygen.eth,0xb072783f70b19b33ee70ab546ea5522ab30cd93427b49a438eed9495268d46c0,0xaff10cc56eede982acaa470126bb0633233beed6342ac88166de8c7eb2f651e2
fluorine.eth,0xbed53deedcd04e2616c5779bdb43c2fa978deef555627519b2735aa9a93f81ac,0x27890c6d53ae9a01e9e5aa9aea0f7dbef12a0cbf404b02f02554437c21bd0b0c
neon.eth,0x132cb140665116064831597c383052109eb4efe2982772e480f710de93ebc653,0x4eb1b2c1f9da0f3240cec8760afae946800afba79f81819fb2fb0dca176960f6
sodium.eth,0x7a0c5d136aebd4b4bcd6304dd432e3d7b32238169e3a4d39d972833194c5ed35,0xf35ef377c56c3555abac4f7879793bd82fc17ffcd95fec879875b9b24d5a357c
magnesium.eth,0x7822079ed612de9035a1ec863852320aac22c015303a8e673e917f3480db548e,0x514c8bcfe1ec7344e48d1182b1d347bd43eab86a505bae8fa0f0eab472bcea7e
aluminium.eth,0xee942214b09bc577dadda38a1221294d73cfcdfce1b53ca198ce30d88927fa73,0x2fa26a073a80312c1e608d1be725b260598e38603fd2606affef5078eb5df23c
silicon.eth,0x2fc02c3f55617120e5d068c77dfe389f690aec6a090ef8adc0e114619975a03e,0xbdda8c91ddf449471d1ca6106795576399613713989ab7513037ab38dfba5b15
phosphorus.eth,0xa8de12a8331078ea492a7cad4bdd1153a6c3941c51516788e6e8d5107de77b52,0x9c60c41665b923ba6c1fe13e4735b25384eec7b92ce72a354cdfd6176a791b0f
sulfur.eth,0xfd534cdf3bffb94a79870388cf2617b849038773bf51917361665762f2b055fb,0xb35461ba2228283a62ec459c77afa6b60d680df0909546ba1f60830e5ac1e9a4
chlorine.eth,0xf15763cf1591b6ddbde49a055dde416ae4fc57313057a1580aec55cc858448e0,0xb2fb90ef640854b8622766437d5b9654784586c6bf93c2eaab5a8a4ba6aff3dc
argon.eth,0x5a0a4ce72140760b8324666f4e8dc2fa065cebdf10ea666ed0067a32b9550008,0x5b8995f6a6502f251efe6316f70f137dc86abe76fdff756ee8c037a9b8b7d9ac
potassium.eth,0x9431ad4a703e21e0174629a0b3ecaf6ab93765ab4cebbefd0ef698a0b406059f,0x9cdd5fde26cb7dbc56c9e2a371db3bdfc441cce36fbc8ab28f8250c8310ca1dc
calcium.eth,0xd62c394be95f52ec6f80e86642857a9b58695de5868b2f00109474739c26b103,0x27305b1d9fbbff130771ba88dfc49e9f366266212d6b3f7ae76159330beb82dc
scandium.eth,0xf43dd04f375ca7ad215b38ee3c9c220475d4a8ee5d28784e00f590b06c8f83ef,0xf86a670c1aaaf62611118a8366c648f75c351c1a259408de2d150e65a825744b
titanium.eth,0x68ecbcdcbedc043a5a975e3de0f5850bdfcd3ce501ddf78667a3ee588fbc7826,0x6945ce1087ceb7e6cbe448947a8e7cc369231e72071b5a29f6ae63a20f4ad8e9
vanadium.eth,0xc1dd786f0b14df6888c8c08dd86ed08ed1aa4d29899f6ae1d1d66407d3ea4cf2,0xae73695a59425063b98a1d9aead44af4bea3e1a7ef0cf778e617e14cbd0c493a
chromium.eth,0xa8a76f947442fdc27044342df18153c516afb19d54a4547464eeeaaa0ff0f756,0xca3d3cc4947bf56372a00fa2eadd125a718f942d2a6c225672911905fee0495b
manganese.eth,0x61429f5a7a879b3ce6cbf8e8ea1ff04a51ad3362fb7e1db5978f38ca90d716b1,0x88435f217e467cbefd33454cfa6ea258d5a4be495a4ddec911a1d94e9f0db318
iron.eth,0x6e67e5c10410644f7af94d359c63e9ffbd3f81ba7b31b6b4c297caabc8e6fe18,0xb44a579305075ec4f42f0c1e3b1c7ccd7a0f46cfa68e25f87f2eb3d1305d68c7
cobalt.eth,0x2b10d70b4f04ec00bb552c0737001ba1743f7825e801365d7c5cbd068e6e0add,0x4ebdc7a41b5e591cdc6fde2a9b85b88e8b3c7b845c79c9242bc9a4e70451681b
nickel.eth,0x379c6fae84895f0d8a5b93bced7f5d703f8704c464746275a82c483489b9bd90,0xaf25b6cf5c80f2b69cc389beeb424edb875e2c9ed219306d23d2ffa624dbf5de
copper.eth,0xa6c7f0457579e334b6d6bc9dc0e140675a4dd61948a266967e9dac6690964a8c,0x2484f09cd648d0bd640ede4512eab31c326bd77c5790f13ec082ea172f33b452
