name,labelhash,namehash
abuja.eth,0x1bac317f76f20b597e7eb037780ceadd64e0cfe3ff1ebdc63071eb92df8fd9e8,0x716576a2269fc344d3fe9283b98133999e87dfd296a2374e56834d3e6abff1ca
accra.eth,0xd4c911dae17853d62bd7b6936cb74c4f2a33da1845ae304658615681dd3b2e45,0x810e75e842731184d9736a29c4868f4fa07ff013185da77fa405582b000cb806
addisababa.eth,0xeb5376102da2250d14e5e182949bfac1f6be13d27072043a419306336247fd12,0xf5e4a8e4c42cb64194a0b6269efa2297171318782b14d2546afff366ef835f35
algiers.eth,0x1587df88aeaa94c0a1f56c925a1dbcb05d1c63bcbdc80d2902ae1b031b0f52ff,0xc42c55aef2f3137292c42379c7754b1ebbee2de7066ac9a6cdfbee846cc46af1
amman.eth,0x27b0bf67a9c8fe510b54f17ac0aefaf8bc8954f840e2ab59de8ae84816fc0184,0x781f6b2db2040722249dc7031e9e699d75e38551a23186068799052c23894674
amsterdam.eth,0xb02c90dcfa2378f31ec2b2b16e7cbaee373ea2ae0f0634bd124c7370b4837d95,0xb7e52638ac011c0bc53539af46d7b0e6bb2f271ce2dfcb937831ef2c72c50738
andorralavella.eth,0x1a512f7f701ada5f8eff4b44c88789001118921f3f597f9c178f7850059c6681,0xa3b1b404c86e1c80b1d7d5e7e990015dbbd26c688f53b596b180b395e19e1f91
ankara.eth,0x6965142609a15b52dc24cdb6d0f075611dd81ba63aa1e9427306c7b72b603a78,0x7beb01420ae5162f16d2e769b337e39e21422f8dab0d0dbb1a4f1b2c1038f06e
antananarivo.eth,0x5e32878808e4bf4bc8bd02121470d70bc8975abfd9c2fe9b3be4faeef8512c45,0x046252f2cfccbee8e6b2e0b2dbca60f620dae668097768303bcca9bb6bc69fbe
apia.eth,0x54c3dea006068edee2e46a49d9e135586ff8e2d4634911eb9fd7e17cb032f290,0x08b7a51fb48fed53000e043f768ab2e080af9f64eac0a2249a0bd40ac599f6d5
ashgabat.eth,0xd7380e1506c600174f621d68faade10514848db41a7c60f8c9bde9869990689d,0xce14fe3da3b522af7ae53beb6335270913359a4f310b5d8f0f5b748ff921c530
asmara.eth,0xcc542e489252e3914311bca1d3ff734af78381d986f29e5974dcdc71a5846ed0,0xaaebb3725b90c2bebe0ce3d8b42e409ac2a123acdcaddfe938b5a1e18d8747f6
asunción.eth,0x35c1e4fb15b03e85dc2d2ad19c6f7e6b12e5100a528e976270e4eac4fae97cf9,0x037b3fda212bb4085b590dc8c0c047e1846fedf45e1e3b62f6d02b727c7e1ff1
athens.eth,0xa20297b4e17a91f8eab0e381ea6c3c9068e985af83bcf7cefc08a4a1c6e38032,0xa169756b6ba5678a5daa6a9cc80935516fbe62f6263dafeed23ba02c9ad2a3be
baghdad.eth,0x7a90d7fea638156c02d35205c7f0cdd97165b2837e161d8c211ff2fd3b605577,0x04f577a9156e1f0dcfb23332abd13f8c3fcaed8c9ed8b3d3acc7f8aa74b8d313
baku.eth,0x7d78fd2b89a0889abf6fddf064a79a89c00b7b9e175a64032687a42ef7e35d3b,0xcc22518b3a48a7b32b9f63c1230f37e998f58e44e9bbfa3589850808e6617ce1
bamako.eth,0xbc5bd6821bfcadb941a3bfdcceba94d3d672f520cf57602d46b3f97c7f661175,0xc0a4c7f4cc9eca9537df12eda2ddb8f27000f51da7164236129eac5cfb553f5c
bandarseribegawan.eth,0x6f42dada721f0bd9d48046e8c698f2a74dee56e8cc55a1dded1a9c26d81f8896,0x939b70512e119b4f9a6255296c75ec5ec82d297bddb492217c276fa9f00212ca
bangkok.eth,0x0dbb0c2f83394a28b832a5b3bf2640671033172a4f0fd1febe8f61ae977f473f,0x1a2895ac6adc5281536f0fa907fd66c9b631895a49b3575aa893fd435c1cdad3
bangui.eth,0x37a192d8a648737856051a343b5395d19cfd61880620f0fdfdccb1d019586081,0x2ece329c53de943942fb56917f6f1b947bdf54e7b6e626b1694b55b223b03f3f
banjul.eth,0x049e1de6024801c44bf63f1474b746af3da2d750218d1625e421e50a54671ae6,0xc6aa64e21653949ec88c4d26d994a315e38d4ae2f9fa7c7dc900745b7f4c3a3f
basseterre.eth,0x7a17c6b6268f3011711356c817bb073e7fe22ec6d0fcf268da9400198e08a8d1,0x613520aa222ece2367db142c58305cded13f687f7fceb28ea80963900de7f75f
beijing.eth,0xf7e4308486ad2024207707429d06b484bb589f925779310cf609a5a2ade25461,0x7d41507ec2f92de7a3c28c7182c059a39d0cc0845e64b80ca445ae17e4388066
beirut.eth,0xc4daa386ad0c5b4986f6a585eea85835f1653c82a631beec5b0274a018c56278,0x60d3f7ac26c20501b9664868c45b2ff90e038dd46424680dcc0be71d888fb95f
belgrade.eth,0x981789bd0246e6fbbcba049ccb72b6bda1af7ac1798873ec1522c08ce9aa8308,0x7a5e4266a493a6c2abec8a69e88e555494137259e9af83e3e4d9e5be0cf338cf
belmopan.eth,0xd662b42ff377d9ff489ddc9700c005db2c0b2b7993912df26c53808704890118,0x89a67609ef7b67ddc5ecbf9965c07e5f141b4aa62774c073e7c9037c476b0c7f
berlin.eth,0x6e98d0d2510c55c67cc85d3911760cae02827a44fd88a2a33ccc2fe39f47ab36,0xab3f362256c050c7e8b68f69da071be316eb587455207edb6b2fd119f173557b
bern.eth,0x8ea266c6615541026e1f5048ca6431a65a7d7f4f9347062e9a7975138aa3f2a5,0x416334d05c99895d887c8237ca00590a3f7924d308c03a0158827ac7920db887
bishkek.eth,0x72861592980d56a839b585be118c7ba8c036938c1d9c9911911da89bb58654f9,0xe29c44d168f4cc05c236da61ed86814710ac5ede4363d73acc69b5a7d75bba67
bissau.eth,0x251585cc0ad12512d8b3dddffabc0ba335dc73156bdee10553f3a10d17eff0d9,0x8ffbd2422abe9d564b48dcc6ae951fba8aa58e98eb9543b7cd7c4ce0f044c3c2
bloemfontein.eth,0x733aff93d11f5a0695d03ca71917f47a94e35b9040a7de6612bef4d9515e7aa9,0x4dd5f6573367e5ad49d11ea333573db8bf99b2fe0b6fa37d29cfb8ec1cb5a2c0
bogotá.eth,0x192c80cf7570b59cf23518f1e6bac57823fb426bebd36d1f69b067811ec61947,0x09bbf2928c370781304132ffb2e212a86b0bc8488cac4a2757abd2a316c0a6ad
brasilia.eth,0x8a4e823c0221a951c0788392fe116630bf30ee4ea3a3681362c821a8784908c9,0xd15c981cbfd90f24924c75d2b0fd4cb3228c641a6aa211568405f75c14b3965c
bratislava.eth,0x68167b90526c9ab43ddeef34275c7dc30016e892b78c75ba46cbe8ff5b498b8d,0xc2e3962bb41e267cf7a59492ce07497e9b9887cca5142899a77da5247c3e7f1a
brazzaville.eth,0xc9cdc8bc0b54c87f43807e179b7d563e01aa2cb31d45ec76d18bd52728ca9ea8,0x557c6e2676d3293d916cc5444a242b42cf66ca4800a6d4a6ed0d3a819d772bfa
bridgetown.eth,0x4525113b07b80047c318644128399b47091046e39ebf7a93109efc8dd6d59a4d,0xbbe77e0cad254cd85f758b5d9c52a2854423fefbaffd4a311c84234c4f7d5e09
brussels.eth,0xaec5d1c6bfb0ea2f7cf7874dc4ee27d06fa9c28bb8c84c2421c38ee6f3efea7b,0x8244ca856314676b8c325a2e25bd2b058caa8fb9796396d769e23c2fe2cf71fd
bucharest.eth,0x7c6d76634c20bf98774d4cc3889933fd298593c21a979c0d32ea498b98fc5cb7,0xee71636c739faa7ed18f3288197cd577caa3278394f3a694a2613ec91a4af6eb
budapest.eth,0x755f7396f7c00d088b7d2bd59328e131026932b2927da58f676bafd47441a811,0xf5b41201482493775077f43f7826653500abca2b1d2b7beedb6f28df152b0389
buenosaires.eth,0xf3c9bcc3e7f91930ec5e671f689231c54b3cbe45318ca887ca410256cae6a34e,0x213dd490825e50013a95f9c2b15146a55a3fe71e0499f420b3335a367707c4f0
cairo.eth,0xf722eff7daedb9c97b71797ceca190c1990281f5ef17a1822b5569c6abb008e9,0x0a7d285965952e73c21e044c1dd6f86c449ff21acaa009e5bffaa33d9f66230c
canberra.eth,0x996c7db00974ca48e07964313f93c89e169d0efc668bc78b19417f2bba64b882,0xa0f3e3a87d8ba0d393adcd20ef5883a29f2d4bf30dcb52f3677ca688c3971534
capetown.eth,0x96b84b1580f067fe8466d89d2b1a8d9987ee27990479fbc1f57e1da5777d3dcb,0x66fd703b29d08902c2eaa4849493b3dfdb4a57c53682146965f58c377d35a499
caracas.eth,0x482ccacb5d9fa377536303e3a9406ba33a7a054b34af85269ddf53c361630b6e,0xf840907d44414e41cb343854493f4780f2d4342589af6c325de4c77d293a23d8
castries.eth,0x40c8342e1f2a9dd58109401e30b733e56dc786457472c4d62d7fc9ecde9e5113,0x87fddadf386816ae8c44e3398b03821a4a445e671d57a6c5ed3c6741c08f063b
