tag,labelhash,namehash
batman.eth,0xc15b4e1c99b835827365b82a7615c1f74df5adce04808eb53a9d287505ba375f,0x6c44be1b78b49756249bfd7f04ad6b2586e2c201c45de31211e42f2a546f7ad1
superman.eth,0x32c2277d76ff8e3554c2134b75a49b72d68735fa0ae7df90bade4e6bb15b4c86,0x0a614b9bac9e5973338cdcb46fb1d820562499888bc912593f5a8727516c6bca
gilgamesh.eth,0x6570d2655958fc18884de0ae9a1cd25a0c1d89287c9c224315be603b92b30dda,0x4c54fadab2f44b2fef2e8e30bc2d883b41ff4f776d7f35f26eae8cb729c77ad6
mario.eth,0x7a2b85f4369b6e88ce0ee8003e432f9982f7cebbfdb9d1309f7ee51d14460f1d,0x12002ff52db552a010e8845a48f13a3799bf44f99b9f95180114148bc78a8d00
hulk.eth,0xdb1ce55df6f559850e227e53165825058cc295b1bb7dc090d9e98a50644f98f7,0x5a53978de5458b438c7ebf7d89020abca22aae713ed6db254414d867711e74fd
aeneas.eth,0x79981cbbe51437477bf3a0fd71bed4c355dca1ce6d10e86f009b94d9ed272a29,0xc52ae0a2272a196087b5bb56db8860e54726154d20142100bf2a90eb55bebe58
yeti.eth,0xc8160643eee7bea119c53bbb0d6414df948710e7d4e27970ebde41915c5ade44,0xcc88c7cd736bd600a36f787e1e6e8500954595e55991b30bb41fc489bcb82ea0
pikachu.eth,0x8bf4e90ee3ac67c6ce16781ceda89b0fbf04f347d49b301d28ecd6d95dd1b246,0x97f8e68b59df26737e6b5900b412972092c312a130f4a3a2d0f9878ec3d9da84
narcissus.eth,0x3cd3fdc746b5be9aec6eeaf43f8261c2c775f83df09bf1d5b413ee3af82985fd,0xb1536f83ff92067c8d32bfb1b65d1778c279e718f5175297d847f2d3ceecb776
europa.eth,0x8220cba3224360b0ac40944facb804f5911f7fe19e5bfdae9b11ef2a415f4755,0x01e5081f23dff6afd12f16d0c86f035072b8cfe16a9d6ed1c6610e77e8d3e830
arjuna.eth,0xb54e5ce6b5ae302736679395d33728c6b2020596e621324e2d081eacb726569a,0xaf1bc31435dca4152f2ff82a3caa5995692ed815e234252b7f98805b98fc3a25
tarzan.eth,0xd6fbe4e34a26a341037183ec7a3cf9dc57e5740fdeade551d2f9e50c663960ed,0x3038f45fc3ce3f2f02c2ca3cc506f40801a920ec845b11108102f397c8380ad0
pandora.eth,0xfd6dbc0ef378515198b8b29d8c08b1d195c667c70c1ac5b239076824484b03d5,0x29fc592a33ab617bc8a9ae87a4f3034311c62523862373817e0deb2ede1889cf
antichrist.eth,0xa76de4391c6d4087cdb2918b847a8661a8bdc4acb82f7db0517b09a1e3d8ee1d,0x9f23f746ebe8ddee04b14f0f4b9513fe9b988063bc5ce231b240794b744c015e
maitreya.eth,0x8bf1a9510f63d89b1528e8c7c941a5b3d842df6e257cd4696095db719bdd18d7,0x3a9ff898d7b5f4f3a4b854fb5a9ccea2159e3c689e19c0adb73c1e1ed670fd4e
yoda.eth,0x48f23589ba6d38527f502285c239bda75a1903110dce7c5a39f1968348a7d65d,0xbf07ecbbf3f8e0d045b1a75c843a895069a24ce830643b53ae3b353f52d556be
gandalf.eth,0x7d89633fc59ac1a134deb97049333e73b34e186c92660b0204df908c81805731,0x2225610e87a37abebc2bfaaa3419b678587caf8a242015715c587a3b21452c04
popeye.eth,0x6c3cab7f025afb5617227815915b1fd0b6e0b64174f2e5f40c8d48899dfeebed,0x2d720f9297e4e54f89064ff06b9b52c13bbfc0ff7fce8cf815888af51e8c04b9
pinocchio.eth,0x0d8d31bf9fbb6c13a4c004e072c0dc37e8207c96cee267c881b9d59c6df557da,0xd49261638fb44c60722e2c224128d70613d6e96e2018ce4ee8b32a2b36f3a458
harpies.eth,0x01dfebca8191b12d17a06fdfe0c77ec88e10ec6f936bf9ab7910b05833001ac6,0xd7c1c9a1fead34de66b2a9ba7eaf55feadcce20f46880428afa334b770642129
wolverine.eth,0xd2e9b1d9eb529058dae715d5b953fed513a5db7bc92f3ed40a1751fab8c614de,0x8ea105316c592cc48989c1b3496cbddebfca6f894c7061f3a38ccad86eae0ca7
tux.eth,0x88aca55e2668fc2b3a3b4ef9702c82a12d50d392156121cd491496882b808b89,0x668c1146d78d5aef250fe332e7ea820daa4aaf2ac4bf094f50337a11ab9a1ce4
thor.eth,0xe25bfc4a76f7f66ee58a22344e779097fb7774c972523e6f54fa7b7b7f0fc6ed,0x5b044655e9d6fa929108f1aa54f34830a72bde2a374bd7e53eb1af4ed01251ba
sauron.eth,0xf42ea726023245ec56ccc17a2a2052feea3e82b485d5ece53ad55241ea0da9b1,0x1add7ef5803fabc261734dec7159fd8c11a909822057d8ec7f4dec51f3cd745e
godzilla.eth,0xbd99a69447dfa24a65cd58da4c81065f92d5b62033e62b08d39251232f413140,0x1bb4e8c6512fead79f2f5555847546525701c2fd67caad08301346e028a8a3c1
scylla.eth,0x861fd74efa058f6d6e9fa7fb98f6716394afe65c4df4655d3df845ebaed9d4d4,0x76b6875728974ca390e3165ec5fe5a91460d41de0a01385f987f33cec7a203d7
goofy.eth,0x3d9a5990c32505f184c522d8bfe34069b266af462f49bb6daa315c23b8c983d4,0x9853ef87e3077c2f2fed4aeeb35c5a90a572dacc93f7360c7c84b36f9db3a94b
pluto.eth,0x32d5ea7a0637317b2a77acfc334cad8e468820f26481a4389e136bb36fb39bb4,0xb2cfaddae0e48a1bb6f4d3b051b767fde8411c6631b956b473126a18cd7e09e1
merlin.eth,0xbe43044869010662209ff76ea7fcfe94b49aee4e72c3a5da934425d51b20d656,0x1e6076fbc10f1d544ae3044a96149fb29bcf00b62c862862815d909e4966fece
charybdis.eth,0xc0b839b15cd63f08741b8b0426c2441cc6b90b907ca80f29391585cf7c7f6d0d,0x647b5ab4bbfe5760aa151bbff32d47aaa518e3651a721c9242a9b99b9188c018
deadpool.eth,0x890d81d3548f80d25ff0cae15be036cac58116f03bac8cb030c56b4f1a1244bf,0x09cdada7b772f6b7280d6df45380ac7ab9c9cb1067b245faf89d763e5a268f15
scheherazade.eth,0x3be635d50260d8e24fde04b3f8d81bf0667ba93dd9649aba82f7f045560039e6,0xf91ec539a03d0148dbb53f106dd46dc5d767beb2977ce64cdf76d94d817e009d
cthulhu.eth,0xbffecc646813c197d46dd1ed47f6b128e28f2636c48fdc4560c4bc2ce4ede942,0xf0d413e1c991a8e9419db23b9cbcbd7df2ceb8ee22bae7dad37398b87ad0de99
catwoman.eth,0x47fde7cc516ec8a0b52d9bcdd1e919224003e2dca12e8c870b1998132c7d6a74,0xd797fb9f68802883c0713824cde5fa2b5e8fc725e362eaee56a3f9e28801248e
golem.eth,0xd4e39c84da0a75928c17f94f3b74a17296e1f4d3f2b01e3d4747726dfcc5cd7e,0x425d4255a3adbf9796dc063334e866b832be0979bcef8d3fef4017ee7c517c1a
thanos.eth,0xfe1d754051f268d80f70f20766d59e07fb9ff0acfe53950d30db51d91b06d31d,0x577daf8e3d6044d872c5e375000a4281f9831f05ea85ffec7dcb81c44b3ac818
daredevil.eth,0xfaa3fe34091a486842ac5a36ac4a6e2fb3f133b70e7a732a237a5273038c836e,0xe0fb9cd7c48ad3841735260795eae88412cae00887e6072c2973bc45ffef5c57
