tag,labelhash,namehash
earth.eth,0x07dc63baa754519bbf367d1fb39dd7a9a8ffced078b71e10ef99c114aa2803c4,0x22d79776337f6faaa07dda9e51f4b3f6b8d1a713849ffb09aedea80544351b73
sun.eth,0xc20c4ba1c3774a81c0925248b9e93272243aa1d115da5941e411c6906b028df4,0x362c2711c948a08b419984411a83e3eacbdfcbbc100d97b6cdad44e989846848
german.eth,0x7fc476663601509c8f3e1fc25e6ed42aa2993f19842c697355fc3d5860ed03a6,0xc1266e5583b1bc50e4d48a65ac6fae16550e3064a016d0df99bf0cc3b34897c9
moon.eth,0x6bd5921979df8775e28d201d8f84d011f187d53c9ef8172ca1c37c59d422bff2,0x8bfc73fef91b80603695b34cb4db1a81d9b86a814edc97529786e7ca926edbad
mathematics.eth,0x72eff1b5cec487cdc6613e576b1a0f4eecf05bf593e866318a8cc34d3f170c93,0x3a87768ac03d439f6aa2ef78423534ac4cdb757c1c0e18ef6c4e58445e845eec
dog.eth,0x41791102999c339c844880b23950704cc43aa840f3739e365323cda4dfa89e7a,0x05884da895f0ea9951e33b902b014b05356d902bda944c5fca6259f47e0d5ab5
language.eth,0x829231cb167e02f32beea96e7533af0ebdf9e1f7ccf9a7270e717c48fe6f0e8e,0xb3d46d4bad550c7f769f551f8f70abe7e23c0e514c7649743206780f8f54b176
water.eth,0x7464bd924e765ce487910dde7cf78faee47c96a6328f88a0cd374cd7c2491abd,0xac1397289adfa805471edd19e5d6d4a63802cda7c93a2f78d4755dae11b9dd5b
cat.eth,0x52763589e772702fa7977a28b3cfb6ca534f0208a2b2d55f7558af664eac478a,0xfc9927c93df8646e04e8faba00012afe540d30e263bbb06195d3933d12e4da41
science.eth,0x60dabe3aa54b06be158e7ae1c25864d9756a19c8a8664704adfb356664a8fe0c,0x22232a2f75a5cbe4fd4b81aef3c0f9dcc5880d9e8ae00953ac67cacc2b748bfe
history.eth,0x5cb4ee416d23b95cd5367c15d6b361ec02394b3d48d629418b0e5e7eda675858,0x43aed1bc392efd766d5609c1750420dc0a36ccd97d58294ae180d697acd9ff2b
