"rank_number","name"
"56","31415926535897932"
"480","6888888"
"1866","6668888"
"2179","1010101"
"2180","0000000000"
"2761","0000007"
"2876","1231231"
"3385","0005555"
"3387","4444444"
"3822","9846335440"
"4026","3141592"
"4573","77777777"
"5353","6666660"
"5938","0000000"
"6149","5000000"
"6162","6666661"
"6164","01010101010101010"
"6188","0101010010101010"
"6217","0246810"
"6543","23232323"
"6736","88888822"
"6740","1236789"
"6757","123456789"
"7142","01099989900"
"7153","1000000"
"8634","1111111111"
"8639","88888888888"
"8678","10000000"
"8744","15268822751"
"8752","1243365509"
"9138","13327825937"
"9141","888888888"
"9296","3888888"
"9468","444444444"
"9551","18812345"
"9556","98765432"
"10192","66668888"
"10856","4163996064"
"11014","8888999"
"11018","123123123"
"11020","118118118"
"11843","1233321"
"11844","1100110"
"11847","1234512345"
"12028","12345678"
"12192","0000008"
"12478","1234567890"
"13884","00000000"
"14005","13141314"
"14553","55555555555555555"
"14689","11111111"
"14714","8885888"
"14721","8000000"
"14727","66666666666"
"15119","7898989"
"15867","0655321"
"16309","1234123"
"16412","8589869056"
"17455","666666666"
"17899","147258369"
"17956","1949101"
"18210","13146666"
"18216","18999999"
"18655","0000011"
"19463","10241024"
"19757","1388888888"
"19779","4444488888"
"19783","13555555"
"20112","01048726156"
"20113","821048726156"
"20762","88888888"
"20771","7770777"
"20808","5544332"
"20809","6667666"
"20811","9991666"
"20812","9990666"
"20816","5208520"
"20912","01030558419"
"21541","10101995"
"21749","116116116"
"21758","99999999"
"21818","4567890"
"21868","0000003"
"21875","00000002"
"21886","00000008"
"21892","8888886"
"22483","1392010"
"22500","19920705"
"22887","5558555"
"22932","8675309"
"22960","168168168"
"22965","19491001"
"22977","0112358"
"23337","1234567890123"
"23735","0000009"
"23753","8883333"
"24168","8888888"
"24580","0808088"
"24858","4008517517"
"24881","888888888888"
"25657","13888888888"
"25660","13145206688"
"25698","444444444444"
"25940","00001111"
"26052","88889999"
"26913","6666665"
"26962","6666667"
"26965","6666668"
"27131","89281101128"
"27359","1010101010"
"27752","4000000"
"27807","30000000"
"27811","60000000"
"27843","999888999"
"27903","13688888888"
"27905","13145202014"
"27907","13145203399"
"29352","0123210"
"29555","88998899"
"29904","1008611"
"30214","5188888"
"30853","15988888"
"31492","5211314"
"31642","88709394"
"31767","8866888"
"32007","1681688"
"33040","1314920"
"33050","8013456"
"33220","19960108"
"33775","8889888"
"34348","111222333"
"34720","8888168"
"34723","5185188"
"34724","6688668"
"34726","1688888"
"34746","88668888"
"35403","5206666"
"35485","8888888888"
"35486","8008308300"
"35487","66778899"
"35943","13928989892"
"36515","1288888"
"36777","12367890"
"36927","00000003"
"37317","6666666"
"37363","16304415544"
"37567","999999999"
"37866","2888888"
"38144","51211314"
"38146","51201314"
"38151","0001000"
"38152","13472775886"
"38402","8877691"
"38427","6860989"
"38428","8888888888888888888"
"38449","8880888"
"38455","8886668"
"38456","1238888"
"38503","888828888"
"38505","8808808"
"38540","8787878"
"38717","13888888880"
"38730","81828384"
"38831","8812388"
"38834","8899988"
"38835","8898988"
"38837","8878788"
"38842","8868688"
"38851","8838388"
"38905","00000077"
"38910","8808088"
"38911","1088768"
"38918","3388833"
"38919","6688866"
"38930","8828888"
"38931","9988899"
"38934","8888388"
"38935","8888788"
"38967","7777777"
"39031","1230000"
"39112","7499276"
"39114","31415927"
"39189","31622453300"
"39210","6833333"
"39212","6855555"
"39217","1788888"
"39220","6666655"
"39231","5555566"
"39232","1717666"
"39269","521521521"
"39434","6668666"
"39871","15267065488"
"40006","1008888"
"40014","18779521689"
"40349","8888868"
"40700","8888878"
"40712","8627527"
"40734","8889990"
"40803","18575509060"
"40835","8000008"
"40836","8388888"
"40840","8886888"
"40845","88878888"
"40939","123467890"
"41119","55555555555"
"41154","109876543210"
"41158","1098765432"
"41159","1098765"
"41162","000000888"
"41163","00000088"
"41168","8888888"
"41170","18888888"
"41172","10101010"
"41244","1388888"
"41607","16863366"
"41779","5318008"
"41948","1388888888888"
"41981","110110110"
"42773","0112357"
"42803","1231230"
"42805","88888800"
"42822","9876543210"
"42826","6283185"
"42986","100100100"
"43200","777777777"
"44036","6688888888"
"44198","5131420"
"44331","1111110111111"
"44382","5201314"
"44531","55558888"
"44576","666688888"
"44783","10161218"
"44795","20161218"
"45594","1717333"
"45966","3333333333"
"46198","0008000"
"46378","8610086"
"46946","4815162342"
"47496","8888768"
"47498","1238123"
"47694","8888884"
"47829","5553555"
"47832","2220222"
