tag,bestEntity,bestNameUsed,bestSitelinks
batman,http://www.wikidata.org/entity/Q2695156,Batman,115
superman,http://www.wikidata.org/entity/Q79015,Superman,109
gilgamesh,http://www.wikidata.org/entity/Q159709,Gilgamesh,96
mario,http://www.wikidata.org/entity/Q12379,Mario,96
hulk,http://www.wikidata.org/entity/Q188760,Hulk,94
aeneas,http://www.wikidata.org/entity/Q82732,Aeneas,88
yeti,http://www.wikidata.org/entity/Q129628,Yeti,83
pikachu,http://www.wikidata.org/entity/Q9351,Pikachu,82
narcissus,http://www.wikidata.org/entity/Q179256,Narcissus,80
europa,http://www.wikidata.org/entity/Q165170,Europa,78
arjuna,http://www.wikidata.org/entity/Q185790,Arjuna,76
tarzan,http://www.wikidata.org/entity/Q170241,Tarzan,76
pandora,http://www.wikidata.org/entity/Q131346,Pandora,76
antichrist,http://www.wikidata.org/entity/Q174546,Antichrist,72
maitreya,http://www.wikidata.org/entity/Q193461,Maitreya,68
yoda,http://www.wikidata.org/entity/Q51730,Yoda,68
gandalf,http://www.wikidata.org/entity/Q177499,Gandalf,68
popeye,http://www.wikidata.org/entity/Q199796,Popeye,68
pinocchio,http://www.wikidata.org/entity/Q6502703,Pinocchio,65
harpies,http://www.wikidata.org/entity/Q181360,harpies,62
wolverine,http://www.wikidata.org/entity/Q186422,Wolverine,61
tux,http://www.wikidata.org/entity/Q131200,Tux,60
thor,http://www.wikidata.org/entity/Q717588,Thor,60
sauron,http://www.wikidata.org/entity/Q2281,Sauron,59
godzilla,http://www.wikidata.org/entity/Q6567,Godzilla,59
scylla,http://www.wikidata.org/entity/Q193115,Scylla,58
goofy,http://www.wikidata.org/entity/Q111135,Goofy,58
pluto,http://www.wikidata.org/entity/Q108732,Pluto,58
merlin,http://www.wikidata.org/entity/Q188044,Merlin,57
charybdis,http://www.wikidata.org/entity/Q192082,Charybdis,56
deadpool,http://www.wikidata.org/entity/Q1631090,Deadpool,56
scheherazade,http://www.wikidata.org/entity/Q216445,Scheherazade,56
cthulhu,http://www.wikidata.org/entity/Q12038,Cthulhu,56
catwoman,http://www.wikidata.org/entity/Q158952,Catwoman,56
golem,http://www.wikidata.org/entity/Q215085,golem,56
thanos,http://www.wikidata.org/entity/Q2276627,Thanos,55
daredevil,http://www.wikidata.org/entity/Q327553,Daredevil,54
aragorn,http://www.wikidata.org/entity/Q180322,Aragorn,54
kraken,http://www.wikidata.org/entity/Q193165,kraken,53
goku,http://www.wikidata.org/entity/Q2142,Goku,53
palpatine,http://www.wikidata.org/entity/Q51770,Palpatine,52
flash,http://www.wikidata.org/entity/Q180784,Flash,52
luigi,http://www.wikidata.org/entity/Q210593,Luigi,52
gollum,http://www.wikidata.org/entity/Q15007,Gollum,51
legolas,http://www.wikidata.org/entity/Q213480,Legolas,51
faust,http://www.wikidata.org/entity/Q332885,Faust,51
smaug,http://www.wikidata.org/entity/Q46302,Smaug,50
aquaman,http://www.wikidata.org/entity/Q623059,Aquaman,48
lancelot,http://www.wikidata.org/entity/Q215681,Lancelot,47
